"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Personenwagendichte","privat","342,4","17974","52495","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","privat","342,3","22302","65158","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","12","12 Schwabing -  Freimann"
"Verkehr","Personenwagendichte","privat","290,8","14260","49030","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Verkehr","Personenwagendichte","privat","408,4","34137","83584","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Personenwagendichte","gesamt","389,4","21859","56130","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Verkehr","Personenwagendichte","gesamt","802,3","15409","19207","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","1","01 Altstadt - Lehel"
"Verkehr","Personenwagendichte","gesamt","352,7","13603","38567","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","6","06 Sendling"
"Verkehr","Personenwagendichte","gesamt","434,7","22818","52495","","","","alle zugelassenen Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Personenwagendichte","privat","257,3","7205","28004","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","8","08 Schwanthalerhöhe"
"Verkehr","Personenwagendichte","privat","278,5","13611","48875","","","","privat zugelassene Personenkraftwagen","Einwohner/innen mit Hauptwohnsitz","","","","2010","Stadtbezirk","3","03 Maxvorstadt"
